Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407	T20200408	T20200409	T20200410	T20200411	T20200412	T20200413	T20200414	T20200415	T20200416	T20200417	T20200418	T20200419	T20200420	T20200421	T20200422	T20200423	T20200424	T20200425	T20200426	T20200427	T20200428	T20200429	T20200430	T20200501	T20200502	T20200503	T20200504	T20200505	T20200506	T20200507	T20200508	T20200509	T20200510
澳大利亚	Australia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	5	6	7	8	11	11	11	12	13	13	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	16	16	16	23	23	23	24	25	28	29	40	41	53	60	64	74	83	101	117	144	144	236	272	368	449	513	636	877	1051	24	1709	1823	2423	2799	3166	3635	3980	4245	4559	4864	5133	5330	5550	5687	5797	5895	6013	6108	6204	6292	6317	6359	6494	6494	6494	6522	6565	6586	6619	6625	6647	6660	6667	6677	6711	6720	6731	6746	6754	6767	6783	6801	6823	6851	6875	6897	6914	6929	6941
巴巴多斯	Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	2	2	2	2	2	18	18	18	34	34	34	34	45	46	46	60	63	63	66	66	68	71	72	73	75	75	75	75	75	75	75	76	76	77	79	79	80	80	80	81	81	81	82	82	82	82	82	83	84
巴布亚新几内亚	Papua New Guinea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
巴哈马	Bahamas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	5	5	14	14	14	14	14	14	14	33	36	40	41	41	46	47	49	49	53	53	55	55	60	60	65	70	72	73	78	80	80	80	80	81	82	83	83	83	89	92	92	92	92
巴基斯坦	Pakistan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	4	5	5	5	6	6	6	16	16	18	18	20	29	53	137	184	237	301	448	510	2	799	892	998	1016	1179	1408	1526	1625	1865	2071	2291	2450	2708	3123	3658	4004	4183	4457	4601	4892	5170	5374	5837	5988	6919	7268	7638	7993	8418	9216	9749	10811	11155	12227	12723	13328	14079	15289	16117	17439	18114	19103	20186	21501	22550	24073	26435	27474	29465
巴拉圭	Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	6	6	6	6	6	6	6	18	0	22	22	37	37	41	41	41	41	65	65	65	65	96	104	113	115	119	124	129	129	134	147	159	161	174	199	202	206	208	208	213	213	220	223	228	228	230	239	249	266	333	370	396	415	431	440	462	563	689
巴勒斯坦	Palestine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	16	19	19	19	30	30	31	35	35	35	35	41	44	47	48	17	59	59	60	64	84	91	104	106	115	134	134	160	210	226	252	260	263	263	263	263	268	290	308	308	374	402	418	431	449	461	474	480	480	484	495	495	495	497	497	497	497	497	497	497	497	497	497	497	497
巴林	Bahrain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	26	33	36	41	41	47	47	47	47	56	56	77	109	109	109	195	210	211	214	221	237	256	269	285	306	125	339	391	419	457	466	473	499	515	567	569	635	672	688	698	723	811	821	855	913	1016	1087	1348	1522	1671	1698	1700	1767	1873	1895	1952	2009	2098	2217	2588	2588	2708	2810	2869	3037	3169	3273	3356	3383	3679	3842	4131	4404	4595	4856
巴拿马	Panama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	11	27	36	43	43	69	86	86	86	200	0	245	245	443	558	674	786	901	989	1075	1075	1317	1475	1673	1801	1988	2100	2249	2528	2752	2974	3234	3400	3472	3574	3751	4016	4210	4273	4467	4658	4821	4992	5166	5538	5538	5779	6021	6200	6378	6532	6720	7090	7197	7387	7523	7731	7868	8070	8282
巴西	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	2	3	8	13	19	25	25	34	52	77	98	151	200	234	291	514	621	904	0	1546	1891	2201	2433	2915	3477	3904	4330	4681	5812	6988	8066	9216	10431	11298	12240	14152	16238	18176	19943	20984	22318	23955	25758	29015	30891	30891	36925	39144	40814	43592	46348	50512	54043	59324	63328	67446	73235	79685	87187	92630	97100	101826	108620	116299	127389	136519	147003	156061
白俄罗斯	Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	4	4	6	6	6	6	9	9	9	12	12	27	27	27	27	51	69	69	3	81	81	86	86	86	86	86	86	152	163	254	351	440	562	700	860	1066	1066	1981	2226	2578	2919	3281	3728	4204	4779	4779	4779	6264	6264	7281	8022	8773	9590	10463	11289	12208	13181	14027	14917	15828	16705	17489	18350	19255	20168	21101	22052	22973
百慕大	Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
保加利亚	Bulgaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	7	23	30	36	51	51	81	92	107	127	3	187	201	218	242	264	313	313	313	359	399	449	477	503	531	531	565	581	611	635	648	669	676	713	735	783	825	865	884	929	966	1015	1081	1171	1234	1290	1348	1399	1437	1488	1541	1588	1611	1632	1689	1758	1811	1865	1911	1955
北马里亚纳群岛	Northern Mariana Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
北塞浦路斯	Northern Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
贝宁	Benin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	5	5	5	5	6	6	6	6	6	13	13	16	16	22	26	26	26	26	26	35	35	35	35	35	35	35	35	54	54	54	54	54	54	54	64	64	64	64	64	90	90	96	96	96	140	242	284	319
比利时	Belgium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	8	13	13	50	109	109	169	239	239	267	399	556	689	886	1085	1243	1243	1243	2257	2815	1	3743	4262	4937	6235	7284	9134	10836	11899	12775	13964	15348	16770	18431	19961	20814	22194	23403	24983	26667	28018	29647	30789	31119	33573	34809	36138	37183	38496	39983	40956	41889	42797	44293	45327	46134	46687	47334	47859	48519	49032	49517	49906	50267	50509	50781	51420	52011	52596	53081
冰岛	Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	9	14	34	34	45	50	60	60	69	90	109	128	156	177	180	220	220	330	409	0	568	588	648	739	802	936	963	1020	1086	1220	1319	1319	1417	1486	1526	1586	1586	1616	1648	1675	1701	1701	1711	1720	1727	1739	1760	1760	1773	1778	1785	1789	1789	1790	1790	1792	1795	1795	1797	1797	1798	1798	1799	1799	1799	1799	1801	1801	1801
波兰	Poland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	5	6	17	18	22	31	51	68	104	125	187	238	238	355	425	13	634	749	901	901	1221	1389	1717	1905	2215	2347	2633	3149	3503	3834	4201	4532	5000	5341	5742	6088	6356	6674	7049	7408	7771	8214	8563	9082	9453	9737	10034	10346	10759	11067	11395	11761	12218	12415	12781	13105	13375	13693	13937	14242	14647	14898	15200	15510	15821
波斯尼亚和黑塞哥维那	Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	5	7	11	13	13	21	24	24	24	24	64	64	0	93	131	131	176	176	192	230	324	368	409	490	543	617	654	674	754	777	804	858	935	1000	1030	1083	1110	1167	1199	1285	1285	1309	1342	1368	1413	1421	1486	1516	1565	1585	1677	1757	1757	1839	1857	1926	1946	1987	2027	2070	2090	2117
玻利维亚	Bolivia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	10	10	10	10	10	10	10	0	10	10	10	39	39	39	39	39	97	97	97	97	139	157	183	194	210	264	268	268	300	330	354	397	441	465	493	520	564	598	609	672	703	703	866	950	1014	1053	1110	1167	1229	1470	1594	1681	1802	1886	2081	2266	2437
伯利兹	Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	3	3	3	3	3	3	3	7	7	8	10	10	13	14	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
博茨瓦纳	Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	4	4	4	4	6	6	13	13	13	13	13	13	13	15	15	20	20	20	20	20	22	22	22	22	22	22	23	23	23	23	23	23	23	23	23	23	23	23
博内尔、新尤斯特歇斯和萨巴	Bonaire, Sint Eustatius and Saba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
不丹	Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
布基纳法索	Burkina Faso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	15	15	20	20	20	40	4	40	114	114	146	152	180	207	222	246	261	288	288	302	318	345	364	384	414	443	443	484	497	515	528	542	546	557	565	576	581	600	609	616	629	629	632	638	638	641	645	649	652	662	672	688	729	736	744	748
布韦特岛	Bouvet Island	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
