Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407	T20200408	T20200409	T20200410	T20200411	T20200412	T20200413	T20200414	T20200415	T20200416	T20200417	T20200418	T20200419	T20200420	T20200421	T20200422	T20200423	T20200424	T20200425	T20200426	T20200427	T20200428	T20200429	T20200430	T20200501	T20200502	T20200503	T20200504	T20200505	T20200506	T20200507	T20200508	T20200509	T20200510	T20200511	T20200512	T20200513	T20200514	T20200515	T20200516	T20200517	T20200518	T20200519	T20200520	T20200521	T20200522	T20200523	T20200524	T20200525	T20200526	T20200527
埃塞俄比亚	Ethiopia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	4	4	4	4	4	4	4	4	10	14	14	15	15	15	16	16	16	16	21	21	25	29	41	50	50	58	59	66	69	75	75	91	93	93	95	97	97	105	106	108	108	108	113	113	116	120	122	123	128	151	152	159	167	181
爱尔兰	Ireland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	25	25	25	25	25	25	25	25	25	25	25	77	77	77	77	77	77	77	9233	9233	9233	9233	9233	9233	9233	9233	13386	13386	13386	13386	13386	13386	13386	17110	17110	17110	17110	17110	17110	17110	19470	19470	19470	19470	19470	19470	19470	21060	21060	21060	21060	21060	21060	21060
爱沙尼亚	Estonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	11	20	20	20	20	20	20	59	62	62	69	72	72	72	93	98	102	115	117	133	145	162	164	165	169	184	192	206	228	233	233	240	240	249	253	256	259	259	261	264	273	704	747	750	751	777	777	909	909	934	938	938	938	956	963	1508	1526	1532	1538	1552	1561
安道尔	Andorra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	10	11	11	11	21	26	31	39	52	58	71	71	128	139	139	169	169	191	205	205	235	248	282	309	333	333	344	374	385	398	423	468	468	472	493	499	514	521	526	537	545	550	550	568	576	596	604	615	617	628	628	639	639	652	653	663	663	676
安哥拉	Angola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2	2	2	4	4	4	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	7	7	11	11	11	11	11	11	11	11	13	13	13	13	14	14	17	17	17	17	17	17	17	17	18	18	18	18
安圭拉岛	Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3
安提瓜和巴布达	Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	7	7	10	10	11	11	11	11	11	11	11	15	15	15	16	16	16	16	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
奥地利	Austria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	6	9	9	9	9	9	9	9	9	9	9	225	479	636	1095	1436	1749	2022	2507	2998	3463	4046	4512	5240	6064	6604	6987	7343	7633	8098	8098	9704	10214	10501	10631	10971	11328	11694	11872	12103	12282	12362	12580	12779	12907	13110	13180	13228	13316	13462	13639	13698	13836	13928	13991	14061	14148	14304	14405	14471	14524	14563	14614	14678	14882	14951	15005	15039	15063	15138	15182	15228
奥兰群岛	Aland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
澳大利亚	Australia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	22	22	22	22	22	24	24	24	24	24	24	24	24	24	24	24	24	24	119	119	119	194	244	244	358	358	520	649	649	2315	1080	1080	1080	1472	1472	1806	3338	3338	3338	3338	3338	3808	4063	4124	4258	4258	4291	5041	5095	5095	5539	5541	5600	5670	5717	5747	5796	5817	5863	5890	5986	6040	6079	6134	6163	6181	6231	6271	6301	6335	6363	6367	6394	6413	6444	6472	6479	6494	6509	6532	6553	6566
巴巴多斯	Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	8	11	11	11	11	13	15	15	15	15	17	19	23	25	27	30	31	31	39	39	39	39	39	39	44	44	46	47	47	53	53	57	57	57	57	65	65	65	67	68	68	68	70	70	70	70	70	71	71
巴布亚新几内亚	Papua New Guinea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
巴哈马	Bahamas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	5	5	5	5	5	5	6	6	6	6	8	10	10	11	11	12	12	14	15	15	22	22	23	25	25	25	25	25	25	26	26	26	31	37	37	39	39	41	41	41	42	42	43	43	43	44	44	45	46	46	46
巴基斯坦	Pakistan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	6	6	6	6	21	23	29	29	76	82	107	126	130	208	257	429	467	572	727	762	1026	1095	1378	1446	1645	1765	1832	1868	1970	2066	2156	2337	2527	2755	2866	3029	3233	3425	4105	4315	4715	4817	5590	5782	6217	6464	7530	7756	8023	8212	8555	8812	9695	10155	10880	11341	11922	12489	13101	14155	15201	16653	17198	17482	18314	19142
巴拉圭	Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	15	15	18	18	18	22	22	22	23	30	30	35	41	46	53	62	62	70	78	85	85	95	102	111	113	115	119	126	130	135	142	148	152	155	165	170	173	182	184	193	198	202	219	230	242	256	264	298	307	344	382
巴勒斯坦	Palestine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	17	17	17	17	18	18	18	18	18	18	21	23	25	25	42	42	42	42	46	58	62	62	63	69	69	71	71	71	71	92	92	92	92	92	92	92	92	92	92	92	92	127	127	174	176	228	263	301	316	316	316	316	327	334	335	346	346	346	346	346	357	357	365	365
巴林	Bahrain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	14	14	14	35	35	35	60	77	77	81	81	81	125	125	125	177	190	204	227	254	272	279	295	316	341	341	399	427	431	458	467	495	530	551	557	591	645	663	703	703	741	759	769	783	1026	1082	1082	1160	1186	1218	1246	1370	1495	1553	1567	1717	1718	1762	1860	1998	2027	2049	2065	2152	2182	2195	2205	2353	2753	2774	2910	2952	3334	3715	3873	4462	4581	4753	4916	5142
巴拿马	Panama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	9	9	9	9	13	13	13	14	16	16	16	17	23	29	61	72	75	98	122	140	165	204	231	255	271	319	338	369	455	484	527	576	622	641	641	726	823	859	886	886	4501	4687	4687	6021	6067	6080	6080	6080	6081	6081	6194	6194	6245	6275	6279	6279	6279	6379
巴西	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	120	127	127	127	127	127	127	127	127	127	173	173	173	173	173	2979	14026	14026	14026	14026	14026	22130	22991	24325	25318	26573	27655	29160	30152	31142	32544	34132	35935	38039	40937	42991	45815	48221	51370	55350	59297	61685	64957	69232	72597	78424	79479	84970	89672	94122	100459	106794	116683	125960	135430	142587	149911	153833	158593
白俄罗斯	Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	46	46	46	46	53	53	53	53	77	77	169	172	203	203	203	203	203	342	342	342	514	514	769	938	1120	1573	1695	1740	1993	2072	2386	2918	3117	3196	3259	3771	4388	5067	5484	6050	6406	6531	6974	7711	8168	8168	9498	9932	10130	10620	11415	12057	12833	13528	14155	14449	15086	15923
百慕大	Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
保加利亚	Bulgaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	17	17	17	17	17	17	17	42	42	48	54	62	68	71	81	105	122	141	153	161	167	170	174	190	193	197	205	206	222	243	266	276	287	308	321	342	360	384	401	422	444	461	476	499	531	545	573	598	612	646	684	727	769	808	840	862	880	912
北马里亚纳群岛	Northern Mariana Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
北塞浦路斯	Northern Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
贝宁	Benin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	18	18	18	18	18	27	27	27	27	27	27	27	33	33	33	33	33	42	42	50	50	50	53	62	62	62	62	76	83	83	83	83	83	83	83	83	83	83	83	83	84	118	134
比利时	Belgium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	858	1359	1527	1696	2132	2495	2872	3247	3751	3986	4157	4681	5164	5568	5986	6463	6707	6868	7107	7562	7961	8348	8757	8895	9002	9433	9800	10122	10417	10785	10878	10943	11283	11576	11892	12211	12309	12378	12441	12731	12980	13201	13411	13642	13697	13732	13937	14111	14301	14460	14630	14657	14687	14847	14988	15123	15155	15272	15297	15320	15465
冰岛	Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	56	97	114	135	157	157	157	157	396	428	460	559	559	633	688	751	889	889	933	989	1077	1144	1291	1291	1362	1417	1462	1509	1542	1570	1570	1608	1624	1636	1656	1670	1689	1706	1717	1723	1750	1750	1755	1765	1773	1773	1773	1780	1780	1780	1786	1786	1786	1789	1789	1789	1790	1791	1791	1791	1792	1792
波兰	Poland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	56	56	116	134	162	191	222	284	318	375	375	439	618	668	774	866	981	1040	1133	1297	1513	1740	1944	2126	2265	2466	2655	3025	3236	3491	3762	3945	4095	4280	4655	4862	5184	5437	5698	5816	6131	6410	6696	6696	7175	7451	7628	7903	8183	8452	8731	8977	9194	9276	10020	10330
波斯尼亚和黑塞哥维那	Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	5	5	8	17	17	17	17	28	30	47	68	77	79	101	129	193	206	236	253	277	320	347	347	381	437	460	485	538	592	624	659	682	710	727	727	779	825	855	911	937	954	960	1059	1106	1114	1168	1228	1272	1272	1355	1436	1436	1522	1557	1596	1614	1662	1680	1696	1721	1744
玻利维亚	Bolivia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	2	2	2	2	6	7	14	26	31	31	31	37	44	44	44	44	54	80	98	110	117	132	134	159	166	174	187	198	219	237	258	273	299	313	339	356	434	473	493	503	533	553	561	575	609	629	647	677
